agent_id,port,zone_id,prob,route_nm,score,estimated_reference_fuel_l
0,Malabrigo,0,1.0,52.4736064714772,0.9727712996048612,879.4576444619579
1,Malabrigo,1,0.9368861275030842,22.90568681387734,0.9250003028849695,383.8993110005843
2,Malabrigo,4,0.9084377202879548,4.22653346913224,0.9062445603113561,70.83670094265634
3,Malabrigo,2,0.9172602093542676,80.13316024833333,0.8756788895472607,1343.0317657620667
4,Malabrigo,0,1.0,52.4736064714772,0.8727712996048612,879.4576444619579
5,Chimbote,6,0.899569309770013,55.38577297783906,0.8708294780722147,928.2655551085827
6,Chimbote,3,0.9167789172170052,150.85668148761818,0.8384989654651848,2528.3579817324808
7,Chimbote,9,0.8602079005412007,105.85499643555455,0.8052794483708906,1774.1297402598946
8,Chimbote,2,0.9172602093542676,23.448464186518695,0.8050927360473221,392.99625976605336
9,Chimbote,10,0.8452094517488159,87.22861415901748,0.7999462811659042,1461.951573305133
10,Callao,5,0.9077931896177576,56.95703223755795,0.8782380271183832,954.5998603014713
11,Callao,7,0.8786989610407431,112.25656013028785,0.8204487196581929,1881.4199477836246
12,Callao,8,0.8607539989874184,94.69874407052926,0.811614557209313,1587.1509506220705
13,Callao,13,0.8440320692049862,83.42302585579496,0.8007436289808886,1398.1699133431237
14,Callao,12,0.8442650730202029,88.08383624750883,0.7985581253160923,1476.285095508248
