update,simulated_episode_reward
1,11.203592300415039
2,10.735391616821289
3,10.971587181091309
4,11.593611717224121
5,10.888848304748535
6,11.285778999328613
7,11.00810432434082
8,11.09229850769043
9,10.860161781311035
10,11.33256721496582
11,10.227824211120605
12,11.49155044555664
13,10.565771102905273
14,10.629319190979004
15,11.096646308898926
16,11.213191032409668
17,11.653678894042969
18,11.469011306762695
19,11.581367492675781
20,10.980365753173828
21,11.554612159729004
22,11.295308113098145
23,11.338140487670898
24,10.893860816955566
25,11.217789649963379
26,10.899552345275879
27,11.439698219299316
28,10.491954803466797
29,11.252314567565918
30,11.42002010345459
31,11.355536460876465
32,10.792657852172852
33,10.955636024475098
34,10.992856979370117
35,11.041533470153809
36,11.000747680664062
37,11.313409805297852
38,11.251686096191406
39,11.356232643127441
40,10.452805519104004
41,11.354060173034668
42,11.119295120239258
43,10.589178085327148
44,11.25910472869873
45,10.88026237487793
46,10.838252067565918
47,10.890440940856934
48,11.171704292297363
49,11.323649406433105
50,11.099647521972656
51,10.760659217834473
52,10.82893180847168
53,11.037806510925293
54,11.603279113769531
55,11.384782791137695
56,11.127230644226074
57,11.05594539642334
58,11.369168281555176
59,10.6483736038208
60,11.355409622192383
61,11.01187801361084
62,10.341113090515137
63,10.943426132202148
64,10.886162757873535
65,11.406745910644531
66,11.22984504699707
67,11.495231628417969
68,11.562161445617676
69,11.120658874511719
70,10.422736167907715
71,11.223275184631348
72,11.010733604431152
73,11.301557540893555
74,11.951380729675293
75,10.584567070007324
76,11.04888916015625
77,10.804240226745605
78,11.553009033203125
79,10.545373916625977
80,11.347593307495117
81,11.012140274047852
82,11.114036560058594
83,11.283941268920898
84,11.042291641235352
85,11.301790237426758
86,11.42373275756836
87,10.925141334533691
88,11.711786270141602
89,11.357877731323242
90,11.79468822479248
91,11.43323040008545
92,11.768589973449707
93,11.670123100280762
94,10.647364616394043
95,11.338589668273926
96,10.501021385192871
97,11.535017013549805
98,10.61337947845459
99,10.541873931884766
100,11.323356628417969
101,11.063204765319824
102,10.687043190002441
103,11.256832122802734
104,11.035713195800781
105,10.611518859863281
106,11.724605560302734
107,10.581252098083496
108,10.721112251281738
109,11.632203102111816
110,10.924721717834473
111,10.606438636779785
112,11.278027534484863
113,10.8103609085083
114,11.006999969482422
115,11.20174789428711
116,11.764251708984375
117,11.431818962097168
118,11.343023300170898
119,11.468780517578125
120,11.269024848937988
