agent_id,port,zone_id,prob,route_nm,estimated_reference_fuel_l
0,Malabrigo,1,0.9368861275030842,22.90568681387734,383.8993110005843
1,Malabrigo,1,0.9368861275030842,22.90568681387734,383.8993110005843
2,Malabrigo,1,0.9368861275030842,22.90568681387734,383.8993110005843
3,Malabrigo,4,0.9084377202879548,4.22653346913224,70.83670094265634
4,Malabrigo,4,0.9084377202879548,4.22653346913224,70.83670094265634
5,Chimbote,0,1.0,48.68531488411907,815.9658774578357
6,Chimbote,0,1.0,48.68531488411907,815.9658774578357
7,Chimbote,2,0.9172602093542676,23.448464186518695,392.99625976605336
8,Chimbote,2,0.9172602093542676,23.448464186518695,392.99625976605336
9,Chimbote,0,1.0,48.68531488411907,815.9658774578357
10,Callao,3,0.9167789172170052,71.42472866650186,1197.0784524505714
11,Callao,3,0.9167789172170052,71.42472866650186,1197.0784524505714
12,Callao,5,0.9077931896177576,56.95703223755795,954.5998603014713
13,Callao,3,0.9167789172170052,71.42472866650186,1197.0784524505714
14,Callao,5,0.9077931896177576,56.95703223755795,954.5998603014713
