Lon,Lat,Prob,zone_id
-79.00000000000017,-8.34999999999992,1.0,0
-79.35000000000015,-7.999999999999915,0.9368861275030842,1
-78.85000000000018,-8.749999999999925,0.9172602093542676,2
-77.80000000000024,-11.14999999999996,0.9167789172170052,3
-79.60000000000014,-7.64999999999991,0.9084377202879548,4
-76.7000000000003,-12.849999999999984,0.9077931896177576,5
-78.4000000000002,-9.79999999999994,0.899569309770013,6
-77.25000000000027,-13.95,0.8786989610407431,7
-76.50000000000031,-13.399999999999991,0.8607539989874184,8
-78.05000000000022,-10.49999999999995,0.8602079005412007,9
-78.20000000000022,-10.249999999999948,0.8452094517488159,10
-77.70000000000024,-13.549999999999994,0.8446749015966467,11
-78.25000000000021,-13.149999999999988,0.8442650730202029,12
-78.30000000000021,-12.849999999999984,0.8440320692049862,13
-81.30000000000004,-6.049999999999887,0.8276468740907841,14
